"gene","hgnc_symbol","description","gene_biotype"
"ENSG00000136152","COG3","component of oligomeric golgi complex 3 [Source:HGNC Symbol;Acc:HGNC:18619]","protein_coding"
"ENSG00000136153","LMO7","LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:6646]","protein_coding"
"ENSG00000136156","ITM2B","integral membrane protein 2B [Source:HGNC Symbol;Acc:HGNC:6174]","protein_coding"
"ENSG00000136158","SPRY2","sprouty RTK signaling antagonist 2 [Source:HGNC Symbol;Acc:HGNC:11270]","protein_coding"
"ENSG00000136159","NUDT15","nudix hydrolase 15 [Source:HGNC Symbol;Acc:HGNC:23063]","protein_coding"
"ENSG00000136160","EDNRB","endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180]","protein_coding"
"ENSG00000136161","RCBTB2","RCC1 and BTB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:1914]","protein_coding"
"ENSG00000136167","LCP1","lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]","protein_coding"
"ENSG00000136169","SETDB2","SET domain bifurcated histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:20263]","protein_coding"
"ENSG00000136193","SCRN1","secernin 1 [Source:HGNC Symbol;Acc:HGNC:22192]","protein_coding"
"ENSG00000136197","C7orf25","chromosome 7 open reading frame 25 [Source:HGNC Symbol;Acc:HGNC:21703]","protein_coding"
"ENSG00000136205","TNS3","tensin 3 [Source:HGNC Symbol;Acc:HGNC:21616]","protein_coding"
"ENSG00000136213","CHST12","carbohydrate sulfotransferase 12 [Source:HGNC Symbol;Acc:HGNC:17423]","protein_coding"
"ENSG00000136231","IGF2BP3","insulin like growth factor 2 mRNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:28868]","protein_coding"
"ENSG00000136235","GPNMB","glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]","protein_coding"
"ENSG00000136237","RAPGEF5","Rap guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:16862]","protein_coding"
"ENSG00000136238","RAC1","Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]","protein_coding"
"ENSG00000136240","KDELR2","KDEL endoplasmic reticulum protein retention receptor 2 [Source:HGNC Symbol;Acc:HGNC:6305]","protein_coding"
"ENSG00000136243","NUP42","nucleoporin 42 [Source:HGNC Symbol;Acc:HGNC:17010]","protein_coding"
"ENSG00000136247","ZDHHC4","zinc finger DHHC-type palmitoyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:18471]","protein_coding"
"ENSG00000136250","AOAH","acyloxyacyl hydrolase [Source:HGNC Symbol;Acc:HGNC:548]","protein_coding"
"ENSG00000136261","BZW2","basic leucine zipper and W2 domains 2 [Source:HGNC Symbol;Acc:HGNC:18808]","protein_coding"
"ENSG00000136267","DGKB","diacylglycerol kinase beta [Source:HGNC Symbol;Acc:HGNC:2850]","protein_coding"
"ENSG00000136270","TBRG4","transforming growth factor beta regulator 4 [Source:HGNC Symbol;Acc:HGNC:17443]","protein_coding"
"ENSG00000136271","DDX56","DEAD-box helicase 56 [Source:HGNC Symbol;Acc:HGNC:18193]","protein_coding"
"ENSG00000136273","HUS1","HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]","protein_coding"
"ENSG00000136274","NACAD","NAC alpha domain containing [Source:HGNC Symbol;Acc:HGNC:22196]","protein_coding"
"ENSG00000136279","DBNL","drebrin like [Source:HGNC Symbol;Acc:HGNC:2696]","protein_coding"
"ENSG00000136280","CCM2","CCM2 scaffold protein [Source:HGNC Symbol;Acc:HGNC:21708]","protein_coding"
"ENSG00000136286","MYO1G","myosin IG [Source:HGNC Symbol;Acc:HGNC:13880]","protein_coding"
"ENSG00000136295","TTYH3","tweety family member 3 [Source:HGNC Symbol;Acc:HGNC:22222]","protein_coding"
"ENSG00000136297","MMD2","monocyte to macrophage differentiation associated 2 [Source:HGNC Symbol;Acc:HGNC:30133]","protein_coding"
"ENSG00000136305","CIDEB","cell death inducing DFFA like effector b [Source:HGNC Symbol;Acc:HGNC:1977]","protein_coding"
"ENSG00000136319","TTC5","tetratricopeptide repeat domain 5 [Source:HGNC Symbol;Acc:HGNC:19274]","protein_coding"
"ENSG00000136352","NKX2-1","NK2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11825]","protein_coding"
"ENSG00000136367","ZFHX2","zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:20152]","protein_coding"
"ENSG00000136371","MTHFS","methenyltetrahydrofolate synthetase [Source:HGNC Symbol;Acc:HGNC:7437]","protein_coding"
"ENSG00000136378","ADAMTS7","ADAM metallopeptidase with thrombospondin type 1 motif 7 [Source:HGNC Symbol;Acc:HGNC:223]","protein_coding"
"ENSG00000136379","ABHD17C","abhydrolase domain containing 17C, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:26925]","protein_coding"
"ENSG00000136381","IREB2","iron responsive element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6115]","protein_coding"
"ENSG00000136383","ALPK3","alpha kinase 3 [Source:HGNC Symbol;Acc:HGNC:17574]","protein_coding"
"ENSG00000136404","TM6SF1","transmembrane 6 superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:11860]","protein_coding"
"ENSG00000136425","CIB2","calcium and integrin binding family member 2 [Source:HGNC Symbol;Acc:HGNC:24579]","protein_coding"
"ENSG00000136436","CALCOCO2","calcium binding and coiled-coil domain 2 [Source:HGNC Symbol;Acc:HGNC:29912]","protein_coding"
"ENSG00000136444","RSAD1","radical S-adenosyl methionine domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25634]","protein_coding"
"ENSG00000136448","NMT1","N-myristoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7857]","protein_coding"
"ENSG00000136449","MYCBPAP","MYCBP associated protein [Source:HGNC Symbol;Acc:HGNC:19677]","protein_coding"
"ENSG00000136450","SRSF1","serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780]","protein_coding"
"ENSG00000136451","VEZF1","vascular endothelial zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:12949]","protein_coding"
"ENSG00000136457","CHAD","chondroadherin [Source:HGNC Symbol;Acc:HGNC:1909]","protein_coding"
"ENSG00000136463","TACO1","translational activator of cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:24316]","protein_coding"
"ENSG00000136478","TEX2","testis expressed 2 [Source:HGNC Symbol;Acc:HGNC:30884]","protein_coding"
"ENSG00000136485","DCAF7","DDB1 and CUL4 associated factor 7 [Source:HGNC Symbol;Acc:HGNC:30915]","protein_coding"
"ENSG00000136490","LIMD2","LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28142]","protein_coding"
"ENSG00000136492","BRIP1","BRCA1 interacting helicase 1 [Source:HGNC Symbol;Acc:HGNC:20473]","protein_coding"
"ENSG00000136504","KAT7","lysine acetyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:17016]","protein_coding"
"ENSG00000136514","RTP4","receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]","protein_coding"
"ENSG00000136518","ACTL6A","actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]","protein_coding"
"ENSG00000136521","NDUFB5","NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]","protein_coding"
"ENSG00000136522","MRPL47","mitochondrial ribosomal protein L47 [Source:HGNC Symbol;Acc:HGNC:16652]","protein_coding"
"ENSG00000136527","TRA2B","transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]","protein_coding"
"ENSG00000136531","SCN2A","sodium voltage-gated channel alpha subunit 2 [Source:HGNC Symbol;Acc:HGNC:10588]","protein_coding"
"ENSG00000136535","TBR1","T-box brain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11590]","protein_coding"
"ENSG00000136536","MARCHF7","membrane associated ring-CH-type finger 7 [Source:HGNC Symbol;Acc:HGNC:17393]","protein_coding"
"ENSG00000136541","ERMN","ermin [Source:HGNC Symbol;Acc:HGNC:29208]","protein_coding"
"ENSG00000136542","GALNT5","polypeptide N-acetylgalactosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4127]","protein_coding"
"ENSG00000136546","SCN7A","sodium voltage-gated channel alpha subunit 7 [Source:HGNC Symbol;Acc:HGNC:10594]","protein_coding"
"ENSG00000136560","TANK","TRAF family member associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562]","protein_coding"
"ENSG00000136603","SKIL","SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]","protein_coding"
"ENSG00000136628","EPRS1","glutamyl-prolyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:3418]","protein_coding"
"ENSG00000136630","HLX","H2.0 like homeobox [Source:HGNC Symbol;Acc:HGNC:4978]","protein_coding"
"ENSG00000136631","VPS45","vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]","protein_coding"
"ENSG00000136634","IL10","interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]","protein_coding"
"ENSG00000136636","KCTD3","potassium channel tetramerization domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21305]","protein_coding"
"ENSG00000136643","RPS6KC1","ribosomal protein S6 kinase C1 [Source:HGNC Symbol;Acc:HGNC:10439]","protein_coding"
"ENSG00000136682","CBWD2","COBW domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17907]","protein_coding"
"ENSG00000136699","SMPD4","sphingomyelin phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:32949]","protein_coding"
"ENSG00000136709","WDR33","WD repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:25651]","protein_coding"
"ENSG00000136710","CCDC115","coiled-coil domain containing 115 [Source:HGNC Symbol;Acc:HGNC:28178]","protein_coding"
"ENSG00000136715","SAP130","Sin3A associated protein 130 [Source:HGNC Symbol;Acc:HGNC:29813]","protein_coding"
"ENSG00000136717","BIN1","bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052]","protein_coding"
"ENSG00000136718","IMP4","IMP U3 small nucleolar ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:30856]","protein_coding"
"ENSG00000136720","HS6ST1","heparan sulfate 6-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5201]","protein_coding"
"ENSG00000136731","UGGT1","UDP-glucose glycoprotein glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15663]","protein_coding"
"ENSG00000136732","GYPC","glycophorin C (Gerbich blood group) [Source:HGNC Symbol;Acc:HGNC:4704]","protein_coding"
"ENSG00000136738","STAM","signal transducing adaptor molecule [Source:HGNC Symbol;Acc:HGNC:11357]","protein_coding"
"ENSG00000136750","GAD2","glutamate decarboxylase 2 [Source:HGNC Symbol;Acc:HGNC:4093]","protein_coding"
"ENSG00000136754","ABI1","abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]","protein_coding"
"ENSG00000136758","YME1L1","YME1 like 1 ATPase [Source:HGNC Symbol;Acc:HGNC:12843]","protein_coding"
"ENSG00000136770","DNAJC1","DnaJ heat shock protein family (Hsp40) member C1 [Source:HGNC Symbol;Acc:HGNC:20090]","protein_coding"
"ENSG00000136783","NIPSNAP3A","nipsnap homolog 3A [Source:HGNC Symbol;Acc:HGNC:23619]","protein_coding"
"ENSG00000136802","LRRC8A","leucine rich repeat containing 8 VRAC subunit A [Source:HGNC Symbol;Acc:HGNC:19027]","protein_coding"
"ENSG00000136807","CDK9","cyclin dependent kinase 9 [Source:HGNC Symbol;Acc:HGNC:1780]","protein_coding"
"ENSG00000136810","TXN","thioredoxin [Source:HGNC Symbol;Acc:HGNC:12435]","protein_coding"
"ENSG00000136811","ODF2","outer dense fiber of sperm tails 2 [Source:HGNC Symbol;Acc:HGNC:8114]","protein_coding"
"ENSG00000136813","ECPAS","Ecm29 proteasome adaptor and scaffold [Source:HGNC Symbol;Acc:HGNC:29020]","protein_coding"
"ENSG00000136816","TOR1B","torsin family 1 member B [Source:HGNC Symbol;Acc:HGNC:11995]","protein_coding"
"ENSG00000136819","C9orf78","chromosome 9 open reading frame 78 [Source:HGNC Symbol;Acc:HGNC:24932]","protein_coding"
"ENSG00000136824","SMC2","structural maintenance of chromosomes 2 [Source:HGNC Symbol;Acc:HGNC:14011]","protein_coding"
"ENSG00000136826","KLF4","Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]","protein_coding"
"ENSG00000136827","TOR1A","torsin family 1 member A [Source:HGNC Symbol;Acc:HGNC:3098]","protein_coding"
"ENSG00000136828","RALGPS1","Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:HGNC:16851]","protein_coding"
"ENSG00000136830","NIBAN2","niban apoptosis regulator 2 [Source:HGNC Symbol;Acc:HGNC:25282]","protein_coding"
"ENSG00000136840","ST6GALNAC4","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:17846]","protein_coding"
"ENSG00000136842","TMOD1","tropomodulin 1 [Source:HGNC Symbol;Acc:HGNC:11871]","protein_coding"
"ENSG00000136848","DAB2IP","DAB2 interacting protein [Source:HGNC Symbol;Acc:HGNC:17294]","protein_coding"
"ENSG00000136854","STXBP1","syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]","protein_coding"
"ENSG00000136856","SLC2A8","solute carrier family 2 member 8 [Source:HGNC Symbol;Acc:HGNC:13812]","protein_coding"
"ENSG00000136859","ANGPTL2","angiopoietin like 2 [Source:HGNC Symbol;Acc:HGNC:490]","protein_coding"
"ENSG00000136861","CDK5RAP2","CDK5 regulatory subunit associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18672]","protein_coding"
"ENSG00000136866","ZFP37","ZFP37 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:12863]","protein_coding"
"ENSG00000136867","SLC31A2","solute carrier family 31 member 2 [Source:HGNC Symbol;Acc:HGNC:11017]","protein_coding"
"ENSG00000136868","SLC31A1","solute carrier family 31 member 1 [Source:HGNC Symbol;Acc:HGNC:11016]","protein_coding"
"ENSG00000136869","TLR4","toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]","protein_coding"
"ENSG00000136870","ZNF189","zinc finger protein 189 [Source:HGNC Symbol;Acc:HGNC:12980]","protein_coding"
"ENSG00000136872","ALDOB","aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]","protein_coding"
"ENSG00000136874","STX17","syntaxin 17 [Source:HGNC Symbol;Acc:HGNC:11432]","protein_coding"
"ENSG00000136875","PRPF4","pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349]","protein_coding"
"ENSG00000136877","FPGS","folylpolyglutamate synthase [Source:HGNC Symbol;Acc:HGNC:3824]","protein_coding"
"ENSG00000136878","USP20","ubiquitin specific peptidase 20 [Source:HGNC Symbol;Acc:HGNC:12619]","protein_coding"
"ENSG00000136881","BAAT","bile acid-CoA:amino acid N-acyltransferase [Source:HGNC Symbol;Acc:HGNC:932]","protein_coding"
"ENSG00000136883","KIF12","kinesin family member 12 [Source:HGNC Symbol;Acc:HGNC:21495]","protein_coding"
"ENSG00000136888","ATP6V1G1","ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864]","protein_coding"
"ENSG00000136891","TEX10","testis expressed 10 [Source:HGNC Symbol;Acc:HGNC:25988]","protein_coding"
"ENSG00000136895","GARNL3","GTPase activating Rap/RanGAP domain like 3 [Source:HGNC Symbol;Acc:HGNC:25425]","protein_coding"
"ENSG00000136897","MRPL50","mitochondrial ribosomal protein L50 [Source:HGNC Symbol;Acc:HGNC:16654]","protein_coding"
"ENSG00000136908","DPM2","dolichyl-phosphate mannosyltransferase subunit 2, regulatory [Source:HGNC Symbol;Acc:HGNC:3006]","protein_coding"
"ENSG00000136925","TSTD2","thiosulfate sulfurtransferase like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30087]","protein_coding"
"ENSG00000136928","GABBR2","gamma-aminobutyric acid type B receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:4507]","protein_coding"
"ENSG00000136930","PSMB7","proteasome 20S subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:9544]","protein_coding"
"ENSG00000136932","TRMO","tRNA methyltransferase O [Source:HGNC Symbol;Acc:HGNC:30967]","protein_coding"
"ENSG00000136933","RABEPK","Rab9 effector protein with kelch motifs [Source:HGNC Symbol;Acc:HGNC:16896]","protein_coding"
"ENSG00000136935","GOLGA1","golgin A1 [Source:HGNC Symbol;Acc:HGNC:4424]","protein_coding"
"ENSG00000136936","XPA","XPA, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12814]","protein_coding"
"ENSG00000136937","NCBP1","nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]","protein_coding"
"ENSG00000136938","ANP32B","acidic nuclear phosphoprotein 32 family member B [Source:HGNC Symbol;Acc:HGNC:16677]","protein_coding"
"ENSG00000136940","PDCL","phosducin like [Source:HGNC Symbol;Acc:HGNC:8770]","protein_coding"
"ENSG00000136942","RPL35","ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:10344]","protein_coding"
"ENSG00000136944","LMX1B","LIM homeobox transcription factor 1 beta [Source:HGNC Symbol;Acc:HGNC:6654]","protein_coding"
"ENSG00000136950","ARPC5L","actin related protein 2/3 complex subunit 5 like [Source:HGNC Symbol;Acc:HGNC:23366]","protein_coding"
"ENSG00000136960","ENPP2","ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:3357]","protein_coding"
"ENSG00000136982","DSCC1","DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453]","protein_coding"
"ENSG00000136986","DERL1","derlin 1 [Source:HGNC Symbol;Acc:HGNC:28454]","protein_coding"
"ENSG00000136997","MYC","MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]","protein_coding"
"ENSG00000136999","CCN3","cellular communication network factor 3 [Source:HGNC Symbol;Acc:HGNC:7885]","protein_coding"
"ENSG00000137033","IL33","interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028]","protein_coding"
"ENSG00000137038","DMAC1","distal membrane arm assembly component 1 [Source:HGNC Symbol;Acc:HGNC:30536]","protein_coding"
"ENSG00000137040","RANBP6","RAN binding protein 6 [Source:HGNC Symbol;Acc:HGNC:9851]","protein_coding"
"ENSG00000137054","POLR1E","RNA polymerase I subunit E [Source:HGNC Symbol;Acc:HGNC:17631]","protein_coding"
"ENSG00000137055","PLAA","phospholipase A2 activating protein [Source:HGNC Symbol;Acc:HGNC:9043]","protein_coding"
"ENSG00000137070","IL11RA","interleukin 11 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5967]","protein_coding"
"ENSG00000137073","UBAP2","ubiquitin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:14185]","protein_coding"
"ENSG00000137074","APTX","aprataxin [Source:HGNC Symbol;Acc:HGNC:15984]","protein_coding"
"ENSG00000137075","RNF38","ring finger protein 38 [Source:HGNC Symbol;Acc:HGNC:18052]","protein_coding"
"ENSG00000137076","TLN1","talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]","protein_coding"
"ENSG00000137094","DNAJB5","DnaJ heat shock protein family (Hsp40) member B5 [Source:HGNC Symbol;Acc:HGNC:14887]","protein_coding"
"ENSG00000137098","SPAG8","sperm associated antigen 8 [Source:HGNC Symbol;Acc:HGNC:14105]","protein_coding"
"ENSG00000137100","DCTN3","dynactin subunit 3 [Source:HGNC Symbol;Acc:HGNC:2713]","protein_coding"
"ENSG00000137101","CD72","CD72 molecule [Source:HGNC Symbol;Acc:HGNC:1696]","protein_coding"
"ENSG00000137103","TMEM8B","transmembrane protein 8B [Source:HGNC Symbol;Acc:HGNC:21427]","protein_coding"
"ENSG00000137106","GRHPR","glyoxylate and hydroxypyruvate reductase [Source:HGNC Symbol;Acc:HGNC:4570]","protein_coding"
"ENSG00000137124","ALDH1B1","aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407]","protein_coding"
"ENSG00000137133","HINT2","histidine triad nucleotide binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18344]","protein_coding"
"ENSG00000137135","ARHGEF39","Rho guanine nucleotide exchange factor 39 [Source:HGNC Symbol;Acc:HGNC:25909]","protein_coding"
"ENSG00000137142","IGFBPL1","insulin like growth factor binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:20081]","protein_coding"
"ENSG00000137145","DENND4C","DENN domain containing 4C [Source:HGNC Symbol;Acc:HGNC:26079]","protein_coding"
"ENSG00000137154","RPS6","ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]","protein_coding"
"ENSG00000137161","CNPY3","canopy FGF signaling regulator 3 [Source:HGNC Symbol;Acc:HGNC:11968]","protein_coding"
"ENSG00000137166","FOXP4","forkhead box P4 [Source:HGNC Symbol;Acc:HGNC:20842]","protein_coding"
"ENSG00000137168","PPIL1","peptidylprolyl isomerase like 1 [Source:HGNC Symbol;Acc:HGNC:9260]","protein_coding"
"ENSG00000137171","KLC4","kinesin light chain 4 [Source:HGNC Symbol;Acc:HGNC:21624]","protein_coding"
"ENSG00000137177","KIF13A","kinesin family member 13A [Source:HGNC Symbol;Acc:HGNC:14566]","protein_coding"
"ENSG00000137185","ZSCAN9","zinc finger and SCAN domain containing 9 [Source:HGNC Symbol;Acc:HGNC:12984]","protein_coding"
"ENSG00000137193","PIM1","Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]","protein_coding"
"ENSG00000137198","GMPR","guanosine monophosphate reductase [Source:HGNC Symbol;Acc:HGNC:4376]","protein_coding"
"ENSG00000137200","CMTR1","cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]","protein_coding"
"ENSG00000137203","TFAP2A","transcription factor AP-2 alpha [Source:HGNC Symbol;Acc:HGNC:11742]","protein_coding"
"ENSG00000137207","YIPF3","Yip1 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:21023]","protein_coding"
"ENSG00000137210","TMEM14B","transmembrane protein 14B [Source:HGNC Symbol;Acc:HGNC:21384]","protein_coding"
"ENSG00000137216","TMEM63B","transmembrane protein 63B [Source:HGNC Symbol;Acc:HGNC:17735]","protein_coding"
"ENSG00000137218","FRS3","fibroblast growth factor receptor substrate 3 [Source:HGNC Symbol;Acc:HGNC:16970]","protein_coding"
"ENSG00000137221","TJAP1","tight junction associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17949]","protein_coding"
"ENSG00000137251","TINAG","tubulointerstitial nephritis antigen [Source:HGNC Symbol;Acc:HGNC:14599]","protein_coding"
"ENSG00000137252","HCRTR2","hypocretin receptor 2 [Source:HGNC Symbol;Acc:HGNC:4849]","protein_coding"
"ENSG00000137261","KIAA0319","KIAA0319 [Source:HGNC Symbol;Acc:HGNC:21580]","protein_coding"
"ENSG00000137265","IRF4","interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]","protein_coding"
"ENSG00000137266","SLC22A23","solute carrier family 22 member 23 [Source:HGNC Symbol;Acc:HGNC:21106]","protein_coding"
"ENSG00000137267","TUBB2A","tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]","protein_coding"
"ENSG00000137269","LRRC1","leucine rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14307]","protein_coding"
"ENSG00000137273","FOXF2","forkhead box F2 [Source:HGNC Symbol;Acc:HGNC:3810]","protein_coding"
"ENSG00000137274","BPHL","biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094]","protein_coding"
"ENSG00000137275","RIPK1","receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]","protein_coding"
"ENSG00000137285","TUBB2B","tubulin beta 2B class IIb [Source:HGNC Symbol;Acc:HGNC:30829]","protein_coding"
"ENSG00000137288","UQCC2","ubiquinol-cytochrome c reductase complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:21237]","protein_coding"
"ENSG00000137309","HMGA1","high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]","protein_coding"
"ENSG00000137310","TCF19","transcription factor 19 [Source:HGNC Symbol;Acc:HGNC:11629]","protein_coding"
"ENSG00000137312","FLOT1","flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]","protein_coding"
"ENSG00000137331","IER3","immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]","protein_coding"
"ENSG00000137337","MDC1","mediator of DNA damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]","protein_coding"
"ENSG00000137338","PGBD1","piggyBac transposable element derived 1 [Source:HGNC Symbol;Acc:HGNC:19398]","protein_coding"
"ENSG00000137343","ATAT1","alpha tubulin acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21186]","protein_coding"
"ENSG00000137364","TPMT","thiopurine S-methyltransferase [Source:HGNC Symbol;Acc:HGNC:12014]","protein_coding"
"ENSG00000137393","RNF144B","ring finger protein 144B [Source:HGNC Symbol;Acc:HGNC:21578]","protein_coding"
"ENSG00000137404","NRM","nurim [Source:HGNC Symbol;Acc:HGNC:8003]","protein_coding"
"ENSG00000137409","MTCH1","mitochondrial carrier 1 [Source:HGNC Symbol;Acc:HGNC:17586]","protein_coding"
"ENSG00000137411","VARS2","valyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21642]","protein_coding"
"ENSG00000137413","TAF8","TATA-box binding protein associated factor 8 [Source:HGNC Symbol;Acc:HGNC:17300]","protein_coding"
"ENSG00000137414","FAM8A1","family with sequence similarity 8 member A1 [Source:HGNC Symbol;Acc:HGNC:16372]","protein_coding"
"ENSG00000137434","C6orf52","chromosome 6 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:20881]","protein_coding"
"ENSG00000137449","CPEB2","cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]","protein_coding"
"ENSG00000137460","FHDC1","FH2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29363]","protein_coding"
"ENSG00000137462","TLR2","toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]","protein_coding"
"ENSG00000137463","MGARP","mitochondria localized glutamic acid rich protein [Source:HGNC Symbol;Acc:HGNC:29969]","protein_coding"
"ENSG00000137473","TTC29","tetratricopeptide repeat domain 29 [Source:HGNC Symbol;Acc:HGNC:29936]","protein_coding"
"ENSG00000137474","MYO7A","myosin VIIA [Source:HGNC Symbol;Acc:HGNC:7606]","protein_coding"
"ENSG00000137478","FCHSD2","FCH and double SH3 domains 2 [Source:HGNC Symbol;Acc:HGNC:29114]","protein_coding"
"ENSG00000137486","ARRB1","arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]","protein_coding"
"ENSG00000137491","SLCO2B1","solute carrier organic anion transporter family member 2B1 [Source:HGNC Symbol;Acc:HGNC:10962]","protein_coding"
"ENSG00000137492","THAP12","THAP domain containing 12 [Source:HGNC Symbol;Acc:HGNC:9440]","protein_coding"
"ENSG00000137494","ANKRD42","ankyrin repeat domain 42 [Source:HGNC Symbol;Acc:HGNC:26752]","protein_coding"
"ENSG00000137496","IL18BP","interleukin 18 binding protein [Source:HGNC Symbol;Acc:HGNC:5987]","protein_coding"
"ENSG00000137497","NUMA1","nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:HGNC:8059]","protein_coding"
